period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,in_flight_prefilling,in_flight_decoding,cumulative_ttft_avg,cumulative_ttft_p50,cumulative_ttft_p95,cumulative_ttft_p99,cumulative_requests_completed,cumulative_requests_per_second,cumulative_input_tokens_per_second,cumulative_output_tokens_per_second,cumulative_cache_hit_rate,cumulative_interactivity_avg,cumulative_interactivity_p50,cumulative_interactivity_p95,cumulative_interactivity_p99,cumulative_inter_turn_avg,cumulative_inter_turn_p50,cumulative_inter_turn_p95,cumulative_inter_turn_p99,cumulative_isl_avg,cumulative_isl_p50,cumulative_isl_p95,cumulative_isl_p99,cumulative_osl_avg,cumulative_osl_p50,cumulative_osl_p95,cumulative_osl_p99,cumulative_total_input_tokens,cumulative_total_output_tokens,conversations_finished,server_gpu_cache_hit_rate_avg,server_gpu_cache_hit_rate_p50,server_gpu_cache_hit_rate_p95,server_gpu_cache_hit_rate_p99,server_cpu_cache_hit_rate_avg,server_cpu_cache_hit_rate_p50,server_cpu_cache_hit_rate_p95,server_cpu_cache_hit_rate_p99,server_kv_cache_usage_current,time_remaining_s
11,1788464752.5498111,1788464782.5498111,1,0,0,0,0,0,0,1,1,0,0.0,0.0,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,1998,0,0.0,100.0,0,0,1,3.5597964922587075,3.3347666263580322,7.329855787754058,8.23279340028763,12,0.036363636284820304,784.236361936577,7.80303028611769,0.5115298785023555,37.98464445357866,37.117559437530474,54.328396664516916,62.20021944229655,30.857142857142858,12.0,104.1999999999999,134.43999999999994,21566.5,20849.0,29608.6,30043.32,214.58333333333334,224.0,327.54999999999995,371.11000000000007,258798,2575,0,0.5062180738351055,0.6592356687898089,0.9412312525794703,0.9467362490119084,,,,,0.018051873428734155,269
12,1788464782.5498111,1788464812.5498111,1,0,0,0,0,0,0,1,0,1,0.0,0.0,30.833333333333332,0.0,0.0,0.0,0.0,0.0,1998,0,0.0,100.0,0,0,1,3.5597964922587075,3.3347666263580322,7.329855787754058,8.23279340028763,12,0.03333333326710595,718.8833319050404,7.152777763566485,0.5115298785023555,37.98464445357866,37.117559437530474,54.328396664516916,62.20021944229655,30.857142857142858,12.0,104.1999999999999,134.43999999999994,21566.5,20849.0,29608.6,30043.32,214.58333333333334,224.0,327.54999999999995,371.11000000000007,258798,2575,0,0.5062180738351055,0.6592356687898089,0.9412312525794703,0.9467362490119084,,,,,0.018423306024312636,239
13,1788464812.5498111,1788464842.5498111,0,1,0,1,0,0,1,0,0,0,0.03333333333333333,0.0,25.8,0.0,0.0,0.0,0.0,0.0,1998,0,0.0,100.0,0,0,0,3.355458479661208,3.2253165245056152,7.227249240875241,8.212272090911863,13,0.033333333272200366,739.7589730022645,11.202564082018723,0.5555061179087876,37.39748367871098,36.92570027076387,53.43387134886013,62.02131437916516,32.0,12.5,106.29999999999995,134.85999999999996,22192.76923076923,21387.0,29885.6,30098.72,336.0769230769231,225.0,946.799999999998,1624.5599999999986,288506,4369,0,0.5062180738351055,0.6592356687898089,0.9412312525794703,0.9467362490119084,,,,,0.0,209
14,1788464842.5498111,1788464872.5498111,0,1,1,1,1,1,0,0,0,0,0.03333333333333333,1052.3333333333333,3.466666666666667,0.9418778419494629,0.9418778419494629,0.9418778419494629,0.9418778419494629,0.9409368635437881,2027,0,4.275080919265747,85.74973026911418,1856,0,0,3.1830598626817976,2.767167091369629,7.124642693996429,8.1917507815361,14,0.033333333276567005,762.08571298789,10.649999981863159,0.5934616927396711,36.933463953121915,35.531225802530294,52.53934603320337,61.842409316033816,33.55555555555556,13.0,103.59999999999997,134.32,22862.571428571428,21651.5,30648.3,31385.66,319.5,224.0,876.1999999999995,1610.439999999999,320076,4473,0,0.5371757990919627,0.6920481872736521,0.9425964221722248,0.9470092829304594,,,,,0.0,179
15,1788464872.5498111,1788464902.5498111,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2027,0,0.0,100.0,0,0,0,3.1830598626817976,2.767167091369629,7.124642693996429,8.1917507815361,14,0.031111111061661333,711.2799988694509,9.939999984200796,0.5934616927396711,36.933463953121915,35.531225802530294,52.53934603320337,61.842409316033816,33.55555555555556,13.0,103.59999999999997,134.32,22862.571428571428,21651.5,30648.3,31385.66,319.5,224.0,876.1999999999995,1610.439999999999,320076,4473,0,0.5371757990919627,0.6920481872736521,0.9425964221722248,0.9470092829304594,,,,,0.0,149
16,1788464902.5498111,1788464932.5498111,0,1,1,2,2,2,0,0,0,0,0.06666666666666667,2130.733333333333,13.266666666666667,0.382922887802124,0.382922887802124,0.41230723857879636,0.41491918087005614,0.9899396378269618,2037,0,13.965697288513184,53.447675704956055,640,0,0,2.8330427408218384,1.8466252088546753,6.9194296002388,8.150708162784575,16,0.033333333283662794,799.9958321412466,10.147916651545092,0.6593645484949833,36.04132585609447,33.59080763212802,50.75029540188983,61.48459918977111,35.81818181818182,13.0,112.5,136.10000000000002,23999.875,23321.0,31867.5,32091.9,304.4375,224.0,735.0,1582.1999999999996,383998,4871,0,0.5936815597177094,0.7940408034166431,0.9878298048087049,0.9911707951028627,,,,,0.0,119
17,1788464932.5498111,1788464962.5498111,0,1,1,3,3,3,0,0,0,0,0.1,1360.3,25.333333333333332,1.377960443496704,0.3599541187286377,3.2213304042816158,3.4756749629974366,0.6566929133858268,2255,0,18.730944633483887,37.56351788838705,13952,0,0,2.6032929044020805,1.384232759475708,6.611609959602352,8.089144234657288,19,0.03725490190853572,832.9549007925965,11.041176455103402,0.6591080876795162,38.50470866847788,36.92570027076387,54.23191039127271,62.1809221876477,34.30769230769231,13.0,106.59999999999991,134.91999999999993,22358.263157894737,21387.0,31811.399999999998,32080.68,296.36842105263156,223.0,578.0999999999972,1550.8200000000004,424807,5631,0,0.6013236334980221,0.8632209010757906,0.9869945572351654,0.9910037455881547,,,,,0.0,89
18,1788464962.5498111,1788464992.5498111,1,0,1,3,3,3,0,1,1,0,0.1,1458.0333333333333,20.866666666666667,0.2528842290242513,0.24818992614746094,0.2965902805328369,0.30089253425598145,0.979381443298969,2274,0,8.646751642227173,71.17749452590942,896,0,1,2.282782630486922,1.1565310955047607,6.3795041799545285,8.027580306529996,22,0.04074074068677769,867.681480332196,11.181481466671077,0.6889224019742254,40.31886842548949,37.506917662353615,57.14770133483029,62.73063426238238,31.5,12.5,97.75,133.14999999999998,21297.636363636364,20203.5,31763.8,32069.46,274.45454545454544,201.5,439.94999999999993,1510.2899999999988,468548,6038,0,0.6661786496739932,0.9360441631883668,0.9862758740274202,0.9907810129018776,,,,,0.011319969238401173,59
19,1788464992.5498111,1788465022.5498111,1,0,1,3,2,2,1,1,1,0,0.1,1363.0333333333333,16.066666666666666,1.7875674962997437,1.7875674962997437,3.1077008843421936,3.2250460743904115,0.7606299212598425,2497,0,11.813528299331665,60.62157233556111,9728,1,0,2.1635007190704347,0.9418778419494629,6.298826122283934,7.966016378402706,25,0.04385964906777041,920.6350865640535,11.822807002708192,0.7029145236345824,41.12857285822165,37.704416720410165,56.622578134226146,62.52527128033108,28.210526315789473,12.0,88.89999999999988,131.38000000000002,20990.48,20096.0,31733.2,32058.239999999998,269.56,202.0,430.79999999999984,1469.7599999999973,524762,6739,0,0.6766299337841842,0.9360441631883668,0.9861140225353682,0.990669646558739,,,,,0.0,29
20,1788465022.5498111,1788465052.5498111,0,1,1,2,1,1,1,0,0,0,0.06666666666666667,1987.7666666666667,17.3,1.1672614812850952,1.1672614812850952,1.8369825720787047,1.8965133357048034,0.9158576051779935,2504,0,18.541091918945312,38.196360270182296,4992,0,0,2.089705219975224,0.9418778419494629,6.24504075050354,7.924973759651181,27,0.04499999994635582,973.9916655055781,12.096666652246316,0.7246233366325745,40.45002169610144,37.30941860429707,56.27249600049006,62.38836262563022,26.523809523809526,12.0,83.0,130.20000000000005,21644.25925925926,20311.0,31712.8,32050.76,268.81481481481484,223.0,424.69999999999993,1442.739999999998,584395,7258,0,0.6941605115030312,0.9360441631883668,0.985952171043316,0.9905582802156004,,,,,0.0,0
